id,tytul,cena,cena_poprzednia,lokalizacja,data_dodania,url,status
144,iPhone        14 pro,1600.0,,Bydgoszcz,12-05-2026,https://www.olx.pl/d/oferta/iphone-14-pro-CID99-ID19SyoI.html?search_reason=search%7Corganic,nowe
145,Sprzedam iPhone 14,999.0,,Trzebinia,26-04-2026,https://www.olx.pl/d/oferta/sprzedam-iphone-14-CID99-ID1anLcy.html?search_reason=search%7Corganic,nowe
147,iPhone 14 Pro 256gb ESIM Sklep iTop Pasaż Muranów Lokal 32,1939.0,,"Warszawa, Śródmieście",06-05-2026,https://www.olx.pl/d/oferta/iphone-14-pro-256gb-esim-sklep-itop-pasaz-muranow-lokal-32-CID99-IDXx1Gc.html?search_reason=search%7Cpromoted,nowe
148,IPHONE 14 128GB | 2 lata gwarancji! | BAT 85% | Raty 0%,1299.0,,"Kraków, Nowa Huta",08-05-2026,https://www.olx.pl/d/oferta/iphone-14-128gb-2-lata-gwarancji-bat-85-raty-0-CID99-ID1a6x9l.html?search_reason=search%7Corganic,nowe
149,Ładny Iphone 16e 256GB Black Czarny bat.100% gw.Apple Kraków ul.krakowska 4 Sklep GSM,1949.0,,"Kraków, Stare Miasto",12-05-2026,https://www.olx.pl/d/oferta/ladny-iphone-16e-256gb-black-czarny-bat-100-gw-apple-krakow-ul-krakowska-4-sklep-gsm-CID99-ID18snjY.html?search_reason=search%7Corganic,nowe
150,Iphone 14 wiecej info,5600.0,,"Kraków, Czyżyny",03-05-2026,https://www.olx.pl/d/oferta/iphone-14-wiecej-info-CID99-IDXonKl.html?search_reason=search%7Corganic,nowe
151,iPhone 14 Pro 79%,1000.0,,"Warszawa, Praga-Południe",12-05-2026,https://www.olx.pl/d/oferta/iphone-14-pro-79-CID99-ID1aBwpH.html?search_reason=search%7Corganic,nowe
152,iPhone 14 128 GB BATERIA 100% GWARANCJA 12 miesiecy !!!,1399.0,,"Warszawa, Wola",06-05-2026,https://www.olx.pl/d/oferta/iphone-14-128-gb-bateria-100-gwarancja-12-miesiecy-CID99-ID1awOvW.html?search_reason=search%7Corganic,nowe
153,"iPhone 14 ,2023 r pamięć 128GB",1300.0,,Ruda Śląska,06-05-2026,https://www.olx.pl/d/oferta/iphone-14-2023-r-pamiec-128gb-CID99-ID19dIvC.html?search_reason=search%7Corganic,nowe
154,"Iphone 14 pro, 88% baterii, bardzo dobry stan",1450.0,,"Kraków, Podgórze",12-05-2026,https://www.olx.pl/d/oferta/iphone-14-pro-88-baterii-bardzo-dobry-stan-CID99-ID1aBsEr.html?search_reason=search%7Corganic,nowe
155,iPhone 17 Pro Max 2TB Cosmic Orange Kraków ul.krakowska 4 Sklep GSM Mamy!,8499.0,,"Kraków, Stare Miasto",12-05-2026,https://www.olx.pl/d/oferta/iphone-17-pro-max-2tb-cosmic-orange-krakow-ul-krakowska-4-sklep-gsm-mamy-CID99-ID17Aky9.html?search_reason=search%7Corganic,nowe
156,Iphone 14 plus okazja,1500.0,,Kartuzy,06-05-2026,https://www.olx.pl/d/oferta/iphone-14-plus-okazja-CID99-ID19rXxU.html?search_reason=search%7Corganic,nowe
157,Iphone 14 pro - Czarny,1750.0,,Kluczbork,22-04-2026,https://www.olx.pl/d/oferta/iphone-14-pro-czarny-CID99-ID1ak6X7.html?search_reason=search%7Corganic,nowe
158,iPhone 14 Pro 512 GB Deep Purple,2000.0,,Mała Kępa,10-05-2026,https://www.olx.pl/d/oferta/iphone-14-pro-512-gb-deep-purple-CID99-ID1azwGK.html?search_reason=search%7Cpromoted,nowe
